iter	RMSE
0	0.2779700122
1	0.2738608178
2	0.2699426664
3	0.2660910774
4	0.2622528512
5	0.2585881567
6	0.2550450539
7	0.251488431
8	0.2480012203
9	0.2446544622
10	0.2414033507
11	0.2381618195
12	0.2350402303
13	0.2319738312
14	0.2289198328
15	0.2259857533
16	0.2231062892
17	0.2203291303
18	0.2176471559
19	0.2150107834
20	0.2123760533
21	0.209778852
22	0.2072416128
23	0.2047647832
24	0.2025372138
25	0.2002304836
26	0.1979853289
27	0.1958177305
28	0.1936675033
29	0.1915869717
30	0.1896463903
31	0.1876157425
32	0.1856907777
33	0.1838615258
34	0.1821119038
35	0.1803551616
36	0.1786717987
37	0.1770079483
38	0.1754089425
39	0.1738254033
40	0.1723515466
41	0.1708775509
42	0.1695007547
43	0.1681040818
44	0.1667714366
45	0.1655155924
46	0.1642449426
47	0.1630056065
48	0.1617917563
49	0.1606108921
50	0.1594616456
51	0.1583833387
52	0.1572762194
53	0.1562181284
54	0.1551922057
55	0.1541540084
56	0.1531927504
57	0.1523101927
58	0.1513621937
59	0.1504460929
60	0.1495528307
61	0.1487134325
62	0.1479052242
63	0.1471410172
64	0.1463641042
65	0.1455911238
66	0.1448728746
67	0.1441541706
68	0.1434622898
69	0.1427932868
70	0.1421555117
71	0.1414915649
72	0.1409087662
73	0.1403203264
74	0.1397048362
75	0.1391498901
76	0.1386180053
77	0.1380827923
78	0.1375587184
79	0.1370579142
80	0.1365524561
81	0.1360666083
82	0.1356283693
83	0.135163941
84	0.1347386619
85	0.1343397714
86	0.1339381585
87	0.1335501693
88	0.1331623371
89	0.1328012151
90	0.1324038213
91	0.1320312609
92	0.131691978
93	0.1313256073
94	0.1309736243
95	0.1306482101
96	0.130326742
97	0.1300092156
98	0.1297400464
99	0.1294526289
100	0.1291693422
101	0.1289016174
102	0.1286221033
103	0.1283622238
104	0.1281280596
105	0.1278880897
106	0.1276615354
107	0.1274568374
108	0.1272309775
109	0.1270159217
110	0.1267905944
111	0.126596975
112	0.1264064395
113	0.1262211625
114	0.1260368747
115	0.1258502575
116	0.1256691915
117	0.1254774633
118	0.1252865866
119	0.1251128106
120	0.1249649856
121	0.1247981646
122	0.1246202269
123	0.1244657647
124	0.124317015
125	0.1241635847
126	0.1240248645
127	0.1238832495
128	0.123755567
129	0.1236068761
130	0.1234834231
131	0.1233510426
132	0.1232214556
133	0.1230961382
134	0.1229797358
135	0.1228585073
136	0.1227382319
137	0.1226148749
138	0.1224981331
139	0.1223842655
140	0.1222713921
141	0.1221583615
142	0.1220542276
143	0.1219407406
144	0.121843479
145	0.1217432321
146	0.1216282398
147	0.1215379826
148	0.1214417606
149	0.1213623425
150	0.1212717615
151	0.1211624821
152	0.1210689356
153	0.120976258
154	0.1208870486
155	0.1208056458
156	0.1207267083
157	0.1206386403
158	0.1205554545
159	0.1204720275
160	0.1203866178
161	0.1202903356
162	0.1202079979
163	0.1201340609
164	0.120054801
165	0.1199800756
166	0.1198967336
167	0.1198041296
168	0.1197298992
169	0.1196374374
170	0.1195667468
171	0.1194887806
172	0.1194113617
173	0.1193441445
174	0.1192811552
175	0.1192195757
176	0.1191473603
177	0.1190977358
178	0.119038025
179	0.1189787568
180	0.1189343694
181	0.1188929479
182	0.1188320982
183	0.1187772134
184	0.1187055736
185	0.1186511157
186	0.1185842324
187	0.1185154009
188	0.1184354118
189	0.1183836206
190	0.1183311698
191	0.1182670872
192	0.1182047821
193	0.1181398437
194	0.1180967445
195	0.1180354394
196	0.1179885003
197	0.1179443274
198	0.1178961936
199	0.1178351343
200	0.117793765
201	0.1177461591
202	0.1176941077
203	0.1176515617
204	0.117595165
205	0.1175537129
206	0.1174877145
207	0.117451158
208	0.1174039384
209	0.1173567286
210	0.1173052741
211	0.1172671503
212	0.1172167779
213	0.1171648501
214	0.117121704
215	0.1170752808
216	0.1170250483
217	0.1169720915
218	0.1169199343
219	0.1168800111
220	0.1168400297
221	0.1167853246
222	0.1167396834
223	0.1167058611
224	0.1166530606
225	0.1166024327
226	0.1165657814
227	0.1165213991
228	0.1164621917
229	0.1164102103
230	0.116371071
231	0.116336315
232	0.1162918146
233	0.1162619282
234	0.1162156377
235	0.1161719405
236	0.1161403918
237	0.1161078679
238	0.1160619242
239	0.1160224829
240	0.1159851783
241	0.115954512
242	0.1159215902
243	0.1158772788
244	0.115835196
245	0.115804492
246	0.1157557319
247	0.1157241248
248	0.1156753388
249	0.115637566
250	0.1155997206
251	0.1155531555
252	0.1155269017
253	0.1154865787
254	0.1154515104
255	0.1154182248
256	0.1153906137
257	0.1153438122
258	0.1153104898
259	0.1152813073
260	0.1152377459
261	0.1151911754
262	0.1151505044
263	0.1151045912
264	0.1150755132
265	0.1150270961
266	0.1149938338
267	0.1149675558
268	0.1149443897
269	0.1149068292
270	0.1148722995
271	0.1148445265
272	0.1148040325
273	0.114769411
274	0.1147470644
275	0.1147133342
276	0.1146786175
277	0.1146258304
278	0.1145881798
279	0.1145528909
280	0.1145253425
281	0.1145028183
282	0.1144556732
283	0.1144319791
284	0.114390086
285	0.1143643556
286	0.1143230478
287	0.1142973286
288	0.1142701545
289	0.1142396068
290	0.1142250516
291	0.1141917973
292	0.1141657452
293	0.1141476536
294	0.1141095983
295	0.1140680997
296	0.1140264679
297	0.113991587
298	0.1139644794
299	0.113920915
300	0.1138875471
301	0.1138654371
302	0.1138449534
303	0.1138048893
304	0.1137761782
305	0.1137455497
306	0.1137448239
307	0.1137413245
308	0.1137069466
309	0.1136859886
310	0.113665516
311	0.1136231687
312	0.1135968548
313	0.1135625022
314	0.1135298102
315	0.1135025145
316	0.1134783466
317	0.1134553139
318	0.1134254536
319	0.1133827764
320	0.1133494279
321	0.1133117244
322	0.1132861334
323	0.11323805
324	0.1132160518
325	0.113180167
326	0.1131561028
327	0.1131382936
328	0.1131139279
329	0.1130819606
330	0.113049399
331	0.1130298794
332	0.1130129777
333	0.1129829573
334	0.112964588
335	0.1129432651
336	0.112909086
337	0.1128881905
338	0.1128653363
339	0.1128439892
340	0.1128047044
341	0.1127826679
342	0.1127608899
343	0.1127413495
344	0.1127241304
345	0.1126859353
346	0.1126715043
347	0.1126276642
348	0.1126147437
349	0.1125830867
350	0.1125401938
351	0.1125024789
352	0.1124749424
353	0.1124500031
354	0.1124248849
