iter	Passed	Remaining
0	66	264420
1	154	309131
2	222	296690
3	285	285573
4	350	280415
5	394	262491
6	454	259151
7	488	243970
8	562	249598
9	644	257041
10	722	262025
11	791	263171
12	821	251954
13	891	253904
14	941	250007
15	990	246527
16	1081	253500
17	1112	246171
18	1174	246023
19	1253	249372
20	1333	252728
21	1413	255541
22	1470	254203
23	1537	254686
24	1615	256838
25	1695	259128
26	1771	260640
27	1835	260429
28	1912	261908
29	1993	263821
30	2025	259329
31	2097	260097
32	2152	258732
33	2225	259547
34	2305	261140
35	2347	258465
36	2409	258075
37	2473	257878
38	2569	260962
39	2630	260405
40	2660	256903
41	2722	256534
42	2798	257493
43	2830	254496
44	2894	254372
45	2958	254319
46	3024	254405
47	3099	255190
48	3175	256025
49	3228	255066
50	3287	254535
51	3363	255385
52	3399	253161
53	3473	253836
54	3546	254357
55	3609	254239
56	3687	255093
57	3769	256162
58	3843	256712
59	3921	257536
60	4002	258450
61	4071	258604
62	4135	258422
63	4167	256280
64	4234	256321
65	4308	256793
66	4369	256512
67	4430	256214
68	4493	255990
69	4569	256548
70	4635	256523
71	4697	256295
72	4774	256850
73	4839	256762
74	4913	257141
75	4977	256984
76	5058	257721
77	5133	258103
78	5207	258471
79	5273	258417
80	5347	258709
81	5444	260119
82	5519	260496
83	5584	260364
84	5658	260619
85	5724	260521
86	5802	260962
87	5884	261589
88	5959	261899
89	6035	262190
90	6115	262698
91	6191	263014
92	6255	262815
93	6319	262579
94	6382	262344
95	6458	262655
96	6544	263331
97	6614	263360
98	6692	263725
99	6774	264219
100	6851	264478
101	6913	264197
102	6994	264645
103	7061	264528
104	7135	264704
105	7227	265495
106	7306	265839
107	7382	266047
108	7460	266315
109	7538	266606
110	7620	266982
111	7683	266712
112	7763	267035
113	7836	267144
114	7904	267039
115	7967	266768
116	8039	266805
117	8103	266590
118	8180	266780
119	8258	267019
120	8322	266813
121	8387	266617
122	8460	266664
123	8541	266981
124	8603	266703
125	8677	266813
126	8743	266648
127	8823	266914
128	8886	266673
129	8961	266786
130	9040	266990
131	9105	266827
132	9177	266823
133	9254	267003
134	9332	267186
135	9404	267194
136	9484	267447
137	9546	267171
138	9615	267097
139	9683	266997
140	9764	267253
141	9828	267023
142	9894	266877
143	9956	266612
144	10026	266558
145	10103	266710
146	10176	266747
147	10240	266528
148	10306	266380
149	10379	266399
150	10459	266605
151	10538	266785
152	10614	266899
153	10692	267040
154	10758	266870
155	10832	266912
156	10927	267476
157	11006	267632
158	11079	267661
159	11159	267822
160	11224	267646
161	11291	267509
162	11370	267652
163	11439	267579
164	11517	267703
165	11615	268274
166	11687	268261
167	11753	268093
168	11823	268029
169	11909	268321
170	11975	268164
171	12041	268000
172	12108	267865
173	12182	267877
174	12254	267847
175	12327	267838
176	12392	267665
177	12464	267625
178	12538	267652
179	12604	267488
180	12703	268040
181	12781	268133
182	12859	268224
183	12937	268305
184	13011	268316
185	13078	268169
186	13158	268316
187	13224	268140
188	13299	268168
189	13385	268417
190	13465	268533
191	13536	268468
192	13608	268438
193	13689	268564
194	13768	268656
195	13834	268493
196	13904	268412
197	13984	268534
198	14057	268510
199	14138	268628
200	14230	268967
201	14299	268867
202	14372	268825
203	14438	268660
204	14513	268677
205	14587	268665
206	14654	268515
207	14731	268570
208	14810	268635
209	14879	268534
210	14948	268441
211	15016	268306
212	15089	268284
213	15162	268244
214	15245	268395
215	15322	268419
216	15401	268494
217	15499	268899
218	15568	268796
219	15633	268610
220	15710	268650
221	15788	268681
222	15869	268777
223	15936	268647
224	16006	268548
225	16085	268621
226	16177	268881
227	16257	268959
228	16335	269005
229	16404	268895
230	16474	268798
231	16543	268686
232	16616	268644
233	16695	268693
234	16767	268637
235	16830	268432
236	16930	268813
237	17006	268813
238	17082	268821
239	17156	268783
240	17225	268673
241	17316	268912
242	17381	268734
243	17466	268868
244	17542	268858
245	17610	268732
246	17692	268822
247	17765	268777
248	17831	268625
249	17897	268455
250	17970	268419
251	18041	268328
252	18112	268254
253	18188	268241
254	18254	268089
255	18333	268130
256	18411	268148
257	18494	268235
258	18556	268035
259	18625	267922
260	18707	267998
261	18784	267998
262	18862	268023
263	18939	268022
264	19010	267936
265	19076	267784
266	19158	267862
267	19234	267850
268	19303	267740
269	19371	267614
270	19437	267459
271	19517	267505
272	19616	267808
273	19700	267900
274	19778	267903
275	19849	267830
276	19929	267861
277	20008	267883
278	20101	268088
279	20181	268123
280	20258	268114
281	20336	268121
282	20418	268180
283	20498	268212
284	20566	268081
285	20636	267981
286	20714	267984
287	20794	268021
288	20866	267946
289	20947	267983
290	21024	267968
291	21099	267934
292	21180	267967
293	21258	267970
294	21335	267961
295	21402	267825
296	21474	267744
297	21554	267761
298	21643	267902
299	21720	267889
300	21800	267907
301	21879	267920
302	21947	267785
303	22018	267700
304	22122	268005
305	22210	268123
306	22268	267875
307	22349	267901
308	22414	267739
309	22488	267689
310	22562	267633
311	22635	267565
312	22739	267856
313	22810	267765
314	22890	267786
315	22968	267770
316	23048	267780
317	23152	268070
318	23218	267925
319	23286	267791
320	23363	267768
321	23445	267800
322	23520	267753
323	23595	267707
324	23681	267777
325	23751	267681
326	23830	267671
327	23916	267742
328	23986	267645
329	24063	267612
330	24141	267600
331	24205	267429
332	24284	267418
333	24351	267283
334	24421	267180
335	24487	267029
336	24564	266998
337	24639	266955
338	24719	266959
339	24799	266964
340	24870	266860
341	24953	266896
342	25019	266750
343	25090	266657
344	25159	266545
345	25221	266360
346	25297	266313
347	25364	266177
348	25442	266164
349	25523	266172
350	25599	266131
351	25666	266002
352	25740	265941
353	25821	265945
354	25891	265842
355	25957	265701
356	26024	265563
357	26092	265443
358	26177	265498
359	26254	265464
360	26324	265361
361	26396	265278
362	26466	265177
363	26550	265212
364	26617	265085
365	26689	265002
366	26767	264975
367	26836	264861
368	26901	264715
369	26986	264763
370	27057	264663
371	27124	264536
372	27188	264381
373	27273	264424
374	27340	264290
375	27411	264201
376	27487	264161
377	27567	264154
378	27640	264080
379	27720	264072
380	27806	264123
381	27875	264011
382	27942	263885
383	28014	263807
384	28087	263729
385	28166	263713
386	28246	263708
387	28316	263604
388	28385	263496
389	28462	263462
390	28544	263470
391	28621	263433
392	28698	263396
393	28774	263348
394	28853	263334
395	28922	263226
396	28988	263089
397	29092	263296
398	29156	263140
399	29223	263014
400	29291	262890
401	29363	262814
402	29431	262692
403	29497	262558
404	29571	262489
405	29646	262435
406	29722	262387
407	29814	262487
408	29890	262439
409	29967	262394
410	30048	262391
411	30126	262361
412	30199	262290
413	30266	262163
414	30334	262042
415	30406	261963
416	30473	261835
417	30548	261780
418	30630	261782
419	30698	261665
420	30766	261547
421	30846	261538
422	30874	261079
423	30939	260940
424	31015	260890
425	31095	260884
426	31175	260862
427	31242	260743
428	31342	260897
429	31423	260885
430	31497	260823
431	31575	260786
432	31652	260752
433	31727	260693
434	31810	260697
435	31905	260802
436	31976	260717
437	32050	260644
438	32122	260568
439	32185	260407
440	32267	260405
441	32332	260271
442	32409	260224
443	32484	260171
444	32561	260123
445	32645	260139
446	32713	260026
447	32787	259955
448	32864	259918
449	32932	259799
450	33000	259689
451	33112	259919
452	33179	259798
453	33247	259684
454	33331	259692
455	33409	259656
456	33485	259602
457	33553	259488
